City,Agent_Rank,Node_ID,Latitude,Longitude,Marginal_Structures_Covered,Cumulative_Structures_Covered,City_Total_Structures,Cumulative_Coverage_Pct
Kisumu,1,6323418556,-0.090475,34.775889,18016,18016,100169,17.99
Kisumu,2,1005409662,-0.117116,34.759809,10874,28890,100169,28.84
Kisumu,3,6315756904,-0.117276,34.788208,9522,38412,100169,38.35
Kisumu,4,6320652319,-0.089006,34.797562,6083,44495,100169,44.42
Kisumu,5,1819075818,-0.073211,34.73668,5463,49958,100169,49.87
Kisumu,6,6310780553,-0.069912,34.812209,5033,54991,100169,54.9
Kisumu,7,6309718445,-0.04986,34.791069,4513,59504,100169,59.4
Kisumu,8,6323113848,-0.08951,34.759389,4473,63977,100169,63.87
Kisumu,9,5313839311,-0.155276,34.809996,4105,68082,100169,67.97
Kisumu,10,415580178,-0.074044,34.69816,3933,72015,100169,71.89
Kisumu,11,6316488148,-0.065327,34.787571,3079,75094,100169,74.97
Kisumu,12,6315719650,-0.11845,34.809949,2827,77921,100169,77.79
Kisumu,13,6307943919,-0.041941,34.764363,2385,80306,100169,80.17
Kisumu,14,6339918892,-0.059485,34.714278,2218,82524,100169,82.38
Kisumu,15,1814747087,-0.136931,34.794337,1889,84413,100169,84.27
Kisumu,16,6316468285,-0.096632,34.817388,1474,85887,100169,85.74
Kisumu,17,6325009898,-0.134258,34.742217,1323,87210,100169,87.06
Kisumu,18,6308068077,-0.048387,34.8111,1131,88341,100169,88.19
Kisumu,19,11622410608,-0.0994,34.790053,1102,89443,100169,89.29
Kisumu,20,10951095104,-0.068584,34.776024,1090,90533,100169,90.38
Mombasa,1,299089072,-4.066175,39.66522,24700,24700,53839,45.88
Mombasa,2,11747749016,-4.026453,39.627316,4580,29280,53839,54.38
Mombasa,3,1940810976,-4.041224,39.662868,3782,33062,53839,61.41
Mombasa,4,9856028034,-4.010638,39.625922,3634,36696,53839,68.16
Mombasa,5,6024784551,-4.049448,39.693797,3220,39916,53839,74.14
Mombasa,6,2580439824,-4.028185,39.717158,2554,42470,53839,78.88
Mombasa,7,6458274104,-4.021425,39.681837,1834,44304,53839,82.29
Mombasa,8,5040892378,-4.049088,39.647881,1681,45985,53839,85.41
Mombasa,9,6359730597,-3.995779,39.600343,1644,47629,53839,88.47
Mombasa,10,9856170625,-4.007963,39.602651,1541,49170,53839,91.33
Mombasa,11,7362839048,-4.045572,39.622314,1124,50294,53839,93.42
Mombasa,12,5851107781,-4.037967,39.689997,910,51204,53839,95.11
Mombasa,13,5250064316,-4.010735,39.672108,713,51917,53839,96.43
Mombasa,14,6359598538,-4.036803,39.614047,353,52270,53839,97.09
Mombasa,15,6956563821,-4.002162,39.726681,289,52559,53839,97.62
Mombasa,16,6366793018,-4.029753,39.632953,274,52833,53839,98.13
Mombasa,17,1142151527,-4.020262,39.707501,263,53096,53839,98.62
Mombasa,18,10809858250,-4.041881,39.703441,162,53258,53839,98.92
Mombasa,19,1966283908,-4.060855,39.67207,116,53374,53839,99.14
Mombasa,20,10786703817,-4.05177,39.688368,100,53474,53839,99.32
Nakuru,1,4806695277,-0.303035,36.057919,14659,14659,101021,14.51
Nakuru,2,2034642008,-0.265248,36.110137,10783,25442,101021,25.18
Nakuru,3,6303344675,-0.236026,36.115976,8465,33907,101021,33.56
Nakuru,4,12777345023,-0.29641,36.082735,8400,42307,101021,41.88
Nakuru,5,1192704929,-0.276401,36.126601,5674,47981,101021,47.5
Nakuru,6,6308038789,-0.277298,36.052759,5327,53308,101021,52.77
Nakuru,7,6293526210,-0.31271,36.036232,5315,58623,101021,58.03
Nakuru,8,4863036446,-0.267071,36.02754,4167,62790,101021,62.16
Nakuru,9,1192624944,-0.254864,36.131543,4035,66825,101021,66.15
Nakuru,10,1326804940,-0.330135,36.052166,3492,70317,101021,69.61
Nakuru,11,12762847113,-0.292333,36.119125,3410,73727,101021,72.98
Nakuru,12,6295354965,-0.226066,36.126762,2928,76655,101021,75.88
Nakuru,13,385907285,-0.280014,36.076496,2472,79127,101021,78.33
Nakuru,14,4611588675,-0.246453,36.10015,2344,81471,101021,80.65
Nakuru,15,6296037217,-0.308108,36.018383,2315,83786,101021,82.94
Nakuru,16,6295312793,-0.333133,36.033775,2111,85897,101021,85.03
Nakuru,17,6305700851,-0.257161,36.01521,1880,87777,101021,86.89
Nakuru,18,349606508,-0.310713,36.131341,1766,89543,101021,88.64
Nakuru,19,9462474195,-0.283729,36.038545,1747,91290,101021,90.37
Nakuru,20,6303252334,-0.274713,36.100944,1383,92673,101021,91.74
Nairobi,1,336031584,-1.252657,36.888766,26274,26274,212171,12.38
Nairobi,2,612004834,-1.30877,36.785603,21592,47866,212171,22.56
Nairobi,3,880339152,-1.310666,36.870759,17070,64936,212171,30.61
Nairobi,4,9560257077,-1.284109,36.883112,16427,81363,212171,38.35
Nairobi,5,2471940606,-1.318014,36.887336,15956,97319,212171,45.87
Nairobi,6,6321317309,-1.318902,36.838298,11106,108425,212171,51.1
Nairobi,7,6369404474,-1.275633,36.849562,10495,118920,212171,56.05
Nairobi,8,1455718313,-1.285876,36.832288,7922,126842,212171,59.78
Nairobi,9,2985990965,-1.283265,36.785759,6815,133657,212171,62.99
Nairobi,10,13935331679,-1.262419,36.803232,6710,140367,212171,66.16
Nairobi,11,280961953,-1.262426,36.876252,6390,146757,212171,69.17
Nairobi,12,6353539908,-1.306334,36.820488,4811,151568,212171,71.44
Nairobi,13,6030126966,-1.300734,36.887564,4799,156367,212171,73.7
Nairobi,14,276139307,-1.2652,36.772951,4066,160433,212171,75.61
Nairobi,15,6346456387,-1.283768,36.871484,3923,164356,212171,77.46
Nairobi,16,10600528098,-1.293402,36.774569,3805,168161,212171,79.26
Nairobi,17,7398142715,-1.331184,36.780727,3779,171940,212171,81.04
Nairobi,18,8864928477,-1.257718,36.826935,3732,175672,212171,82.8
Nairobi,19,13953363498,-1.275106,36.890699,3630,179302,212171,84.51
Nairobi,20,6359787344,-1.247658,36.779394,3434,182736,212171,86.13
